date,hour,holiday,temperature,rain_1h,snow_1h,clouds_all,weather_main,weather_description,traffic_volume
2023-01-01 00:00:00,0,New Year's Day,-6.8,2.27,0.0,95,Rain,light rain,166
2023-01-01 01:00:00,1,New Year's Day,-7.9,0.15,0.0,93,Rain,moderate rain,208
2023-01-01 02:00:00,2,New Year's Day,-9.8,0.0,0.0,0,Clear,sky is clear,217
2023-01-01 03:00:00,3,New Year's Day,-8.5,0.0,0.0,88,Clouds,few clouds,115
2023-01-01 04:00:00,4,New Year's Day,-9.9,0.31,0.0,99,Drizzle,light intensity drizzle,167
2023-01-01 05:00:00,5,New Year's Day,-9.7,0.0,0.0,32,Clouds,overcast clouds,219
2023-01-01 06:00:00,6,New Year's Day,-7.0,0.0,0.0,33,Clouds,scattered clouds,229
2023-01-01 07:00:00,7,New Year's Day,-6.8,0.0,0.0,1,Clear,sky is clear,1389
2023-01-01 08:00:00,8,New Year's Day,-7.2,0.0,0.0,7,Clear,sky is clear,1488
2023-01-01 09:00:00,9,New Year's Day,-3.4,0.0,0.0,5,Clear,sky is clear,1297
2023-01-01 10:00:00,10,New Year's Day,-3.3,0.0,0.0,17,Clear,sky is clear,922
2023-01-01 11:00:00,11,New Year's Day,-2.6,0.0,0.0,77,Fog,fog,1001
2023-01-01 12:00:00,12,New Year's Day,-0.6,0.86,0.0,82,Drizzle,light intensity drizzle,1286
2023-01-01 13:00:00,13,New Year's Day,0.0,0.0,0.0,12,Clear,sky is clear,1181
2023-01-01 14:00:00,14,New Year's Day,-0.5,0.0,0.0,6,Clear,sky is clear,1195
2023-01-01 15:00:00,15,New Year's Day,-4.8,0.0,0.0,10,Clear,sky is clear,1109
2023-01-01 16:00:00,16,New Year's Day,0.1,0.19,0.0,76,Rain,heavy intensity rain,1570
2023-01-01 17:00:00,17,New Year's Day,-0.2,0.0,0.6,85,Snow,heavy snow,1348
2023-01-01 18:00:00,18,New Year's Day,0.8,0.0,0.0,64,Clouds,overcast clouds,1464
2023-01-01 19:00:00,19,New Year's Day,-5.1,3.2,0.0,92,Rain,light rain,681
2023-01-01 20:00:00,20,New Year's Day,-4.0,0.0,0.0,71,Clouds,broken clouds,911
2023-01-01 21:00:00,21,New Year's Day,-7.8,0.0,0.0,86,Mist,mist,701
2023-01-01 22:00:00,22,New Year's Day,-5.9,0.0,0.0,92,Mist,mist,103
2023-01-01 23:00:00,23,New Year's Day,-5.3,0.0,0.0,12,Clear,sky is clear,290
2023-01-02 00:00:00,0,No Holiday,-8.3,0.0,0.0,1,Clear,sky is clear,604
2023-01-02 01:00:00,1,No Holiday,-11.4,0.0,0.0,11,Clear,sky is clear,792
2023-01-02 02:00:00,2,No Holiday,-6.1,0.0,0.0,76,Mist,mist,635
2023-01-02 03:00:00,3,No Holiday,-9.5,0.0,0.0,32,Clouds,few clouds,731
2023-01-02 04:00:00,4,No Holiday,-8.9,0.0,0.0,80,Clouds,few clouds,632
2023-01-02 05:00:00,5,No Holiday,-10.3,0.0,0.0,8,Clear,sky is clear,549
2023-01-02 06:00:00,6,No Holiday,-9.2,0.0,0.0,11,Clear,sky is clear,644
2023-01-02 07:00:00,7,No Holiday,-7.0,0.0,0.0,16,Clear,sky is clear,4083
2023-01-02 08:00:00,8,No Holiday,-6.2,0.0,0.0,0,Clear,sky is clear,4658
2023-01-02 09:00:00,9,No Holiday,-2.1,0.0,0.0,61,Clouds,scattered clouds,5120
2023-01-02 10:00:00,10,No Holiday,0.4,0.0,0.0,16,Clear,sky is clear,3808
2023-01-02 11:00:00,11,No Holiday,-4.6,0.0,0.0,40,Clouds,scattered clouds,3846
2023-01-02 12:00:00,12,No Holiday,-1.1,0.0,0.0,5,Clear,sky is clear,3636
2023-01-02 13:00:00,13,No Holiday,0.0,0.0,0.0,3,Clear,sky is clear,3608
2023-01-02 14:00:00,14,No Holiday,-1.1,0.0,0.0,6,Clear,sky is clear,3409
2023-01-02 15:00:00,15,No Holiday,0.1,0.0,0.0,17,Clear,sky is clear,3271
2023-01-02 16:00:00,16,No Holiday,-0.2,6.47,0.0,99,Rain,moderate rain,5037
2023-01-02 17:00:00,17,No Holiday,-3.6,0.0,0.0,15,Clear,sky is clear,5659
2023-01-02 18:00:00,18,No Holiday,0.6,0.0,0.0,15,Clear,sky is clear,6289
2023-01-02 19:00:00,19,No Holiday,-2.9,0.0,0.0,92,Mist,mist,2668
2023-01-02 20:00:00,20,No Holiday,-6.4,4.85,0.0,91,Rain,heavy intensity rain,2120
2023-01-02 21:00:00,21,No Holiday,-3.8,0.0,0.0,7,Clear,sky is clear,3043
2023-01-02 22:00:00,22,No Holiday,-4.7,0.0,0.0,54,Clouds,overcast clouds,865
2023-01-02 23:00:00,23,No Holiday,-3.3,0.0,0.0,62,Clouds,few clouds,771
2023-01-03 00:00:00,0,No Holiday,-7.8,0.0,0.0,7,Clear,sky is clear,610
2023-01-03 01:00:00,1,No Holiday,-7.6,0.0,0.0,88,Clouds,overcast clouds,799
2023-01-03 02:00:00,2,No Holiday,-11.6,0.0,0.0,5,Clear,sky is clear,555
2023-01-03 03:00:00,3,No Holiday,-9.0,0.0,0.0,96,Mist,mist,666
2023-01-03 04:00:00,4,No Holiday,-8.8,0.0,0.0,98,Clouds,overcast clouds,872
2023-01-03 05:00:00,5,No Holiday,-8.5,0.0,0.0,78,Clouds,overcast clouds,441
2023-01-03 06:00:00,6,No Holiday,-11.4,0.0,0.0,97,Mist,mist,580
2023-01-03 07:00:00,7,No Holiday,-6.1,0.87,0.0,98,Drizzle,light intensity drizzle,3995
2023-01-03 08:00:00,8,No Holiday,-3.9,0.0,0.0,17,Clear,sky is clear,4697
2023-01-03 09:00:00,9,No Holiday,-3.6,0.0,0.0,75,Clouds,overcast clouds,4828
2023-01-03 10:00:00,10,No Holiday,-3.5,0.0,0.0,96,Thunderstorm,proximity thunderstorm,1979
2023-01-03 11:00:00,11,No Holiday,-5.1,0.0,1.82,85,Snow,light snow,2131
2023-01-03 12:00:00,12,No Holiday,-5.8,0.0,0.0,54,Clouds,scattered clouds,3436
2023-01-03 13:00:00,13,No Holiday,-3.0,0.0,0.0,3,Clear,sky is clear,3549
2023-01-03 14:00:00,14,No Holiday,0.0,5.52,0.0,92,Rain,moderate rain,3330
2023-01-03 15:00:00,15,No Holiday,-0.9,0.0,0.0,80,Clouds,broken clouds,3398
2023-01-03 16:00:00,16,No Holiday,3.5,0.0,0.0,16,Clear,sky is clear,4746
2023-01-03 17:00:00,17,No Holiday,-3.3,0.0,0.0,89,Clouds,few clouds,5283
2023-01-03 18:00:00,18,No Holiday,-1.1,0.0,0.0,12,Clear,sky is clear,4955
2023-01-03 19:00:00,19,No Holiday,-3.7,0.0,0.0,81,Clouds,overcast clouds,2542
2023-01-03 20:00:00,20,No Holiday,-6.6,0.06,0.0,90,Rain,moderate rain,2008
2023-01-03 21:00:00,21,No Holiday,-5.3,0.0,0.0,87,Clouds,few clouds,2509
2023-01-03 22:00:00,22,No Holiday,-6.3,0.0,0.0,15,Clear,sky is clear,784
2023-01-03 23:00:00,23,No Holiday,-6.5,0.0,0.0,51,Clouds,few clouds,985
2023-01-04 00:00:00,0,No Holiday,-10.2,0.0,0.0,13,Clear,sky is clear,698
2023-01-04 01:00:00,1,No Holiday,-7.1,0.0,0.0,4,Clear,sky is clear,750
2023-01-04 02:00:00,2,No Holiday,-5.6,0.0,0.0,81,Clouds,scattered clouds,461
2023-01-04 03:00:00,3,No Holiday,-6.1,0.0,0.0,98,Clouds,few clouds,460
2023-01-04 04:00:00,4,No Holiday,-6.9,0.0,0.0,71,Fog,fog,814
2023-01-04 05:00:00,5,No Holiday,-8.3,0.0,0.0,93,Fog,fog,561
2023-01-04 06:00:00,6,No Holiday,-6.3,0.0,0.0,18,Clear,sky is clear,923
2023-01-04 07:00:00,7,No Holiday,-6.1,0.0,3.54,81,Snow,heavy snow,3419
2023-01-04 08:00:00,8,No Holiday,-7.8,0.0,0.0,18,Clear,sky is clear,4361
2023-01-04 09:00:00,9,No Holiday,-8.1,0.0,0.0,55,Clouds,few clouds,4878
2023-01-04 10:00:00,10,No Holiday,-6.2,0.0,0.0,6,Clear,sky is clear,3629
2023-01-04 11:00:00,11,No Holiday,-2.3,0.0,0.0,65,Clouds,few clouds,3327
2023-01-04 12:00:00,12,No Holiday,-1.3,0.0,0.0,53,Clouds,few clouds,3480
2023-01-04 13:00:00,13,No Holiday,-5.1,6.68,0.0,74,Rain,heavy intensity rain,2671
2023-01-04 14:00:00,14,No Holiday,0.4,0.27,0.0,86,Rain,heavy intensity rain,2836
2023-01-04 15:00:00,15,No Holiday,-1.7,0.0,0.0,12,Clear,sky is clear,4313
2023-01-04 16:00:00,16,No Holiday,-1.6,0.0,0.0,8,Clear,sky is clear,5699
2023-01-04 17:00:00,17,No Holiday,-2.4,0.71,0.0,89,Drizzle,light intensity drizzle,5055
2023-01-04 18:00:00,18,No Holiday,1.7,0.0,0.0,41,Clouds,broken clouds,5773
2023-01-04 19:00:00,19,No Holiday,-0.6,3.8,0.0,76,Rain,heavy intensity rain,2253
2023-01-04 20:00:00,20,No Holiday,-4.0,0.0,0.0,4,Clear,sky is clear,2621
2023-01-04 21:00:00,21,No Holiday,-4.4,0.39,0.0,79,Rain,heavy intensity rain,2759
2023-01-04 22:00:00,22,No Holiday,-5.9,0.0,1.81,79,Snow,heavy snow,474
2023-01-04 23:00:00,23,No Holiday,-5.2,0.0,0.0,4,Clear,sky is clear,632
2023-01-05 00:00:00,0,No Holiday,-6.9,0.0,2.51,76,Snow,heavy snow,320
2023-01-05 01:00:00,1,No Holiday,-9.9,3.05,0.0,79,Rain,moderate rain,558
2023-01-05 02:00:00,2,No Holiday,-9.5,0.0,0.0,49,Clouds,scattered clouds,664
2023-01-05 03:00:00,3,No Holiday,-6.5,0.0,0.0,92,Clouds,scattered clouds,775
2023-01-05 04:00:00,4,No Holiday,-10.6,0.0,0.0,35,Clouds,few clouds,659
2023-01-05 05:00:00,5,No Holiday,-12.3,0.0,0.0,10,Clear,sky is clear,750
2023-01-05 06:00:00,6,No Holiday,-8.2,0.0,0.0,47,Clouds,few clouds,706
2023-01-05 07:00:00,7,No Holiday,-7.9,0.0,0.0,0,Clear,sky is clear,4401
2023-01-05 08:00:00,8,No Holiday,-3.6,0.0,0.0,94,Mist,mist,4917
2023-01-05 09:00:00,9,No Holiday,-5.3,0.0,0.0,7,Clear,sky is clear,4389
2023-01-05 10:00:00,10,No Holiday,-3.0,0.0,0.0,17,Clear,sky is clear,3240
2023-01-05 11:00:00,11,No Holiday,-4.6,0.0,0.0,16,Clear,sky is clear,3166
2023-01-05 12:00:00,12,No Holiday,-3.5,0.0,0.0,58,Clouds,overcast clouds,3100
2023-01-05 13:00:00,13,No Holiday,-1.8,0.0,0.0,95,Clouds,few clouds,3662
2023-01-05 14:00:00,14,No Holiday,-3.6,0.0,0.0,94,Clouds,scattered clouds,3547
2023-01-05 15:00:00,15,No Holiday,-0.3,0.0,0.0,16,Clear,sky is clear,3497
2023-01-05 16:00:00,16,No Holiday,-1.4,0.0,0.0,50,Clouds,few clouds,5833
2023-01-05 17:00:00,17,No Holiday,-1.5,3.54,0.0,88,Rain,light rain,4766
2023-01-05 18:00:00,18,No Holiday,-2.8,0.0,0.0,18,Clear,sky is clear,4840
2023-01-05 19:00:00,19,No Holiday,-4.7,0.0,0.0,77,Mist,mist,2453
2023-01-05 20:00:00,20,No Holiday,-7.0,0.0,0.0,1,Clear,sky is clear,2903
2023-01-05 21:00:00,21,No Holiday,-2.4,0.0,0.0,0,Clear,sky is clear,2782
2023-01-05 22:00:00,22,No Holiday,-1.9,0.0,0.0,94,Mist,mist,886
2023-01-05 23:00:00,23,No Holiday,-8.1,0.0,0.0,43,Clouds,few clouds,1027
2023-01-06 00:00:00,0,No Holiday,-9.8,0.0,0.0,1,Clear,sky is clear,763
2023-01-06 01:00:00,1,No Holiday,-6.3,0.0,0.0,18,Clear,sky is clear,414
2023-01-06 02:00:00,2,No Holiday,-9.4,0.0,0.0,59,Clouds,overcast clouds,767
2023-01-06 03:00:00,3,No Holiday,-7.0,0.0,0.0,73,Fog,fog,655
2023-01-06 04:00:00,4,No Holiday,-6.4,9.78,0.0,90,Rain,light rain,567
2023-01-06 05:00:00,5,No Holiday,-10.8,0.0,0.0,52,Clouds,broken clouds,579
2023-01-06 06:00:00,6,No Holiday,-7.1,0.0,0.0,2,Clear,sky is clear,531
2023-01-06 07:00:00,7,No Holiday,-6.9,0.64,0.0,88,Drizzle,light intensity drizzle,4282
2023-01-06 08:00:00,8,No Holiday,-7.7,0.0,0.0,0,Clear,sky is clear,4401
2023-01-06 09:00:00,9,No Holiday,-9.3,0.0,0.0,86,Mist,mist,4330
2023-01-06 10:00:00,10,No Holiday,-0.0,0.0,0.0,14,Clear,sky is clear,3509
2023-01-06 11:00:00,11,No Holiday,-4.4,0.0,0.0,85,Mist,mist,3269
2023-01-06 12:00:00,12,No Holiday,-2.4,2.27,0.0,89,Rain,light rain,3031
2023-01-06 13:00:00,13,No Holiday,-2.6,0.0,0.0,57,Clouds,scattered clouds,3193
2023-01-06 14:00:00,14,No Holiday,-2.4,0.4,0.0,88,Rain,moderate rain,2598
2023-01-06 15:00:00,15,No Holiday,0.2,0.0,0.0,47,Clouds,broken clouds,3578
2023-01-06 16:00:00,16,No Holiday,1.9,0.0,0.0,4,Clear,sky is clear,4540
2023-01-06 17:00:00,17,No Holiday,-1.0,0.0,0.6,81,Snow,heavy snow,3464
2023-01-06 18:00:00,18,No Holiday,-3.6,0.0,0.0,96,Clouds,scattered clouds,4982
2023-01-06 19:00:00,19,No Holiday,-3.6,0.0,0.0,63,Clouds,scattered clouds,3235
2023-01-06 20:00:00,20,No Holiday,0.2,0.0,0.0,70,Clouds,scattered clouds,3078
2023-01-06 21:00:00,21,No Holiday,-3.6,0.0,0.0,85,Clouds,broken clouds,2742
2023-01-06 22:00:00,22,No Holiday,-10.2,0.0,0.0,90,Fog,fog,609
2023-01-06 23:00:00,23,No Holiday,-8.3,0.0,0.0,8,Clear,sky is clear,596
2023-01-07 00:00:00,0,No Holiday,-7.7,0.0,0.0,53,Clouds,overcast clouds,355
2023-01-07 01:00:00,1,No Holiday,-8.9,0.88,0.0,75,Drizzle,light intensity drizzle,306
2023-01-07 02:00:00,2,No Holiday,-8.9,6.63,0.0,84,Rain,moderate rain,417
2023-01-07 03:00:00,3,No Holiday,-12.5,0.0,0.31,91,Snow,light snow,472
2023-01-07 04:00:00,4,No Holiday,-10.7,3.07,0.0,83,Rain,heavy intensity rain,432
2023-01-07 05:00:00,5,No Holiday,-7.2,0.0,0.0,3,Clear,sky is clear,278
